year,samp_grp,district,bed_name,cpue,abundance,se,cv,l95,u95
2016,1,EKI,EK1,28024.955679122802,2753313.732442317,741381.1816810092,0.2692686899227316,1639262.987831981,4624478.54037222
2016,1,KSH,KSH1,28264.44585197211,3979326.1761423447,537160.7654772679,0.13498787023234282,3057904.212876679,5178395.304029185
2016,1,KSH,KSH2,5131.132195555596,108601.28521140743,44882.71042315983,0.4132797354634378,49867.51287890613,236511.47748654627
2016,1,KSH,KSH3,9298.261626727543,69129.13483791739,62770.941300502185,0.9080244016893477,15121.380259114034,316031.8173044183
2016,1,WKI,WK1,135179.4961408014,6580268.864936892,2554017.360035481,0.3881326754966835,3157756.0732412534,13712249.246159468
2016,2,EKI,EK1,254.63613082322377,25016.744497256776,8925.025991844697,0.3567620876019011,12693.980200138527,49301.91282590763
2016,2,KSH,KSH1,26713.082576889,3760911.1213567085,1147743.9339950315,0.30517709591100234,2095473.5770458847,6750002.77631029
2016,2,KSH,KSH2,52948.27191600387,1120659.1763084475,294362.7010384346,0.26266924615572407,675466.5411001835,1859273.425148174
2016,2,KSH,KSH3,17274.433496111844,128429.021503198,128429.021503198,1,25117.613974959655,656671.1941951241
2016,2,WKI,WK1,103771.1725221973,5051374.173747245,2568418.394420626,0.50845934315638,1973462.3750806681,12929752.989163345
2017,1,KNE,KNE2,9804.436771063296,1157517.8839425307,526204.2484961479,0.4545970786247249,494983.9522213964,2706850.6880552503
2017,1,KNE,KNE3,1245.0524629511342,122337.72201183716,31546.591418934713,0.2578647934598809,74401.97801323494,201157.53138153447
2017,1,KNE,KNE6,22075.714519831996,631414.4433534291,184818.01990003846,0.2927047707658915,359966.103903098,1107560.3923602917
2017,1,KSH,KSH1,23739.88936433088,3342317.8951026103,461077.65021300985,0.13795146502629566,2553724.749364032,4374429.513088731
2017,1,KSH,KSH2,14912.383830877732,315623.13888577843,162153.60493341275,0.5137570252480598,122234.79439539957,814972.253136629
2017,1,YAK,EK1,10432.692323657495,348123.2938019651,56114.88252818951,0.16119255311915803,254332.67922408925,476501.20329503744
2017,1,YAK,YAK1,96142.52040388632,5128535.273030528,1044082.4387078657,0.20358296923458652,3455066.2955933246,7612552.639080865
2017,1,YAK,YAK2,98374.67349817294,7735815.418870702,1339782.5490562406,0.17319215577300137,5522934.1892236285,10835334.650846155
2017,1,YAK,YAK4,44403.415430972746,5619728.227403021,875108.6600357931,0.1557208150687025,4149122.506947437,7611572.1570017245
2017,1,YAK,YAK5,65231.05944163053,3579476.1095881457,1012866.579807099,0.28296503421100894,2077675.6756063257,6166818.704932465
2017,2,KNE,KNE2,10341.434372190146,1220916.1536700793,412349.4043504542,0.3377376923967547,641099.2034324135,2325125.7314183945
2017,2,KNE,KNE3,156835.25860512283,15410489.79045404,8263168.697672641,0.5362041576894736,5753126.795241622,41278978.20331531
2017,2,KNE,KNE6,49644.78666361188,1419951.1100056928,501264.6622566907,0.35301543745029434,725369.0158965517,2779635.0693506156
2017,2,KSH,KSH1,90214.70805658969,12701248.456197092,3747687.836632972,0.2950645245274633,7209507.125323279,22376247.02240866
2017,2,KSH,KSH2,32875.02799079864,695805.5561800117,376100.1685307473,0.5405248135636425,257948.2501684769,1876908.9214397056
2017,2,YAK,EK1,362.4439470797165,12094.21084812952,3550.9355562671335,0.29360622208900206,6883.403188526082,21249.65399133245
2017,2,YAK,YAK1,33647.82566410506,1794877.6467916395,617261.2099298199,0.3439015528624919,932054.5882781564,3456434.6417775094
2017,2,YAK,YAK2,65279.77744602379,5133356.8991898885,1372247.1799814834,0.2673196520191382,3067392.3585143546,8590799.602572951
2017,2,YAK,YAK4,28172.746078373017,3565563.0280560656,975527.2242557674,0.27359696535433903,2105851.152084119,6037102.714718605
2017,2,YAK,YAK5,24866.997264016944,1364546.634466213,638148.562394676,0.4676634321437528,570715.257498375,3262550.7959866836
2018,1,EKI,EK1,24331.700351182088,2390469.6042209086,520031.3401190943,0.21754359026396433,1568349.4381865528,3643540.6482572122
2018,1,KAM,KAMN,9940.770139582291,897471.6156647544,162031.05521165865,0.1805417044767959,631787.7442755655,1274882.7564666893
2018,1,KAM,KAMS,1359.789272732499,92579.6616805431,41917.73685506252,0.45277478977731156,39712.56982680615,215825.71448444418
2018,1,KSH,KSH1,36304.574829563964,5111288.779182712,674260.116412677,0.13191587201232058,3951166.380063004,6612040.716893961
2018,1,YAK,YAK1,94382.36115020124,5034643.009953242,870179.013900227,0.17283827516269293,3596889.493991237,7047097.298934364
